seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-tsel.s42_step@1_val	stepfinder-tsel.s42_step@1_test	stepfinder-tsel.s42_step@1_full	stepfinder-tsel.s42_agent@1_val	stepfinder-tsel.s42_agent@1_test	stepfinder-tsel.s42_agent@1_full	stepfinder-tsel.s43_step@1_val	stepfinder-tsel.s43_step@1_test	stepfinder-tsel.s43_step@1_full	stepfinder-tsel.s43_agent@1_val	stepfinder-tsel.s43_agent@1_test	stepfinder-tsel.s43_agent@1_full	stepfinder-tsel.s44_step@1_val	stepfinder-tsel.s44_step@1_test	stepfinder-tsel.s44_step@1_full	stepfinder-tsel.s44_agent@1_val	stepfinder-tsel.s44_agent@1_test	stepfinder-tsel.s44_agent@1_full	stepfinder-tsel.s45_step@1_val	stepfinder-tsel.s45_step@1_test	stepfinder-tsel.s45_step@1_full	stepfinder-tsel.s45_agent@1_val	stepfinder-tsel.s45_agent@1_test	stepfinder-tsel.s45_agent@1_full	stepfinder-tsel.s46_step@1_val	stepfinder-tsel.s46_step@1_test	stepfinder-tsel.s46_step@1_full	stepfinder-tsel.s46_agent@1_val	stepfinder-tsel.s46_agent@1_test	stepfinder-tsel.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	12	29	58	False	0.08333333333333333	0.13793103448275862	0.15517241379310345	0.4166666666666667	0.6206896551724138	0.5	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.5	0.3793103448275862	0.3793103448275862	0.08333333333333333	0.06896551724137931	0.08620689655172414	0.3333333333333333	0.27586206896551724	0.27586206896551724	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.3333333333333333	0.4482758620689655	0.39655172413793105	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.3103448275862069	0.3103448275862069	0.1724137931034483	0.6206896551724138	0.15517241379310345	0.5
2	12	29	58	False	0.0	0.20689655172413793	0.15517241379310345	0.3333333333333333	0.5517241379310345	0.5	0.0	0.13793103448275862	0.10344827586206896	0.3333333333333333	0.3448275862068966	0.3793103448275862	0.0	0.10344827586206896	0.08620689655172414	0.25	0.20689655172413793	0.27586206896551724	0.08333333333333333	0.13793103448275862	0.15517241379310345	0.25	0.3448275862068966	0.39655172413793105	0.0	0.13793103448275862	0.10344827586206896	0.25	0.27586206896551724	0.3103448275862069	0.20689655172413793	0.5517241379310345	0.15517241379310345	0.5
3	12	29	58	False	0.25	0.10344827586206896	0.15517241379310345	0.5833333333333334	0.5172413793103449	0.5	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.5	0.4482758620689655	0.3793103448275862	0.16666666666666666	0.034482758620689655	0.08620689655172414	0.3333333333333333	0.3103448275862069	0.27586206896551724	0.25	0.06896551724137931	0.15517241379310345	0.5	0.3448275862068966	0.39655172413793105	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.3333333333333333	0.3793103448275862	0.3103448275862069	0.10344827586206896	0.5172413793103449	0.15517241379310345	0.5
4	12	29	58	False	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.5	0.5172413793103449	0.5	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.5	0.3448275862068966	0.3793103448275862	0.0	0.10344827586206896	0.08620689655172414	0.25	0.27586206896551724	0.27586206896551724	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.4166666666666667	0.41379310344827586	0.39655172413793105	0.0	0.13793103448275862	0.10344827586206896	0.25	0.3448275862068966	0.3103448275862069	0.1724137931034483	0.5172413793103449	0.15517241379310345	0.5
5	12	29	58	False	0.08333333333333333	0.13793103448275862	0.15517241379310345	0.3333333333333333	0.5517241379310345	0.5	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.41379310344827586	0.3793103448275862	0.08333333333333333	0.06896551724137931	0.08620689655172414	0.25	0.27586206896551724	0.27586206896551724	0.0	0.20689655172413793	0.15517241379310345	0.16666666666666666	0.4482758620689655	0.39655172413793105	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.3103448275862069	0.3103448275862069	0.20689655172413793	0.5517241379310345	0.15517241379310345	0.5
6	12	29	58	False	0.16666666666666666	0.13793103448275862	0.15517241379310345	0.5833333333333334	0.5172413793103449	0.5	0.0	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.3103448275862069	0.3793103448275862	0.0	0.10344827586206896	0.08620689655172414	0.25	0.2413793103448276	0.27586206896551724	0.16666666666666666	0.10344827586206896	0.15517241379310345	0.5	0.3448275862068966	0.39655172413793105	0.0	0.13793103448275862	0.10344827586206896	0.3333333333333333	0.27586206896551724	0.3103448275862069	0.13793103448275862	0.5172413793103449	0.15517241379310345	0.5
7	12	29	58	False	0.16666666666666666	0.1724137931034483	0.15517241379310345	0.5833333333333334	0.4827586206896552	0.5	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.5833333333333334	0.3448275862068966	0.3793103448275862	0.08333333333333333	0.10344827586206896	0.08620689655172414	0.4166666666666667	0.27586206896551724	0.27586206896551724	0.16666666666666666	0.10344827586206896	0.15517241379310345	0.5	0.3448275862068966	0.39655172413793105	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.3103448275862069	0.3103448275862069	0.1724137931034483	0.4827586206896552	0.15517241379310345	0.5
8	12	29	58	False	0.08333333333333333	0.10344827586206896	0.15517241379310345	0.5833333333333334	0.3448275862068966	0.5	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.4482758620689655	0.3793103448275862	0.08333333333333333	0.10344827586206896	0.08620689655172414	0.25	0.3448275862068966	0.27586206896551724	0.08333333333333333	0.06896551724137931	0.15517241379310345	0.3333333333333333	0.3793103448275862	0.39655172413793105	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.25	0.3793103448275862	0.3103448275862069	0.10344827586206896	0.4482758620689655	0.15517241379310345	0.5
9	12	29	58	False	0.08333333333333333	0.20689655172413793	0.15517241379310345	0.3333333333333333	0.5172413793103449	0.5	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.3333333333333333	0.4482758620689655	0.3793103448275862	0.08333333333333333	0.13793103448275862	0.08620689655172414	0.3333333333333333	0.3448275862068966	0.27586206896551724	0.08333333333333333	0.13793103448275862	0.15517241379310345	0.4166666666666667	0.3793103448275862	0.39655172413793105	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.4166666666666667	0.3448275862068966	0.3103448275862069	0.20689655172413793	0.5172413793103449	0.15517241379310345	0.5
10	12	29	58	False	0.25	0.06896551724137931	0.15517241379310345	0.6666666666666666	0.5172413793103449	0.5	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.4166666666666667	0.4482758620689655	0.3793103448275862	0.16666666666666666	0.06896551724137931	0.08620689655172414	0.25	0.3793103448275862	0.27586206896551724	0.16666666666666666	0.10344827586206896	0.15517241379310345	0.25	0.4827586206896552	0.39655172413793105	0.25	0.06896551724137931	0.10344827586206896	0.3333333333333333	0.3793103448275862	0.3103448275862069	0.10344827586206896	0.5172413793103449	0.15517241379310345	0.5
11	12	29	58	False	0.0	0.20689655172413793	0.15517241379310345	0.5	0.5517241379310345	0.5	0.0	0.13793103448275862	0.10344827586206896	0.4166666666666667	0.3448275862068966	0.3793103448275862	0.0	0.10344827586206896	0.08620689655172414	0.4166666666666667	0.27586206896551724	0.27586206896551724	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.5	0.41379310344827586	0.39655172413793105	0.0	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.3103448275862069	0.3103448275862069	0.20689655172413793	0.5517241379310345	0.15517241379310345	0.5
12	12	29	58	False	0.25	0.1724137931034483	0.15517241379310345	0.5	0.4827586206896552	0.5	0.16666666666666666	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.41379310344827586	0.3793103448275862	0.08333333333333333	0.10344827586206896	0.08620689655172414	0.3333333333333333	0.27586206896551724	0.27586206896551724	0.16666666666666666	0.20689655172413793	0.15517241379310345	0.4166666666666667	0.3793103448275862	0.39655172413793105	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.27586206896551724	0.3103448275862069	0.20689655172413793	0.4827586206896552	0.15517241379310345	0.5
13	12	29	58	False	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.4166666666666667	0.5517241379310345	0.5	0.08333333333333333	0.13793103448275862	0.10344827586206896	0.4166666666666667	0.41379310344827586	0.3793103448275862	0.08333333333333333	0.13793103448275862	0.08620689655172414	0.4166666666666667	0.3103448275862069	0.27586206896551724	0.16666666666666666	0.1724137931034483	0.15517241379310345	0.5	0.3793103448275862	0.39655172413793105	0.08333333333333333	0.1724137931034483	0.10344827586206896	0.4166666666666667	0.3448275862068966	0.3103448275862069	0.1724137931034483	0.5517241379310345	0.15517241379310345	0.5
14	12	29	58	False	0.16666666666666666	0.2413793103448276	0.15517241379310345	0.3333333333333333	0.5517241379310345	0.5	0.08333333333333333	0.1724137931034483	0.10344827586206896	0.16666666666666666	0.41379310344827586	0.3793103448275862	0.08333333333333333	0.13793103448275862	0.08620689655172414	0.08333333333333333	0.3448275862068966	0.27586206896551724	0.08333333333333333	0.27586206896551724	0.15517241379310345	0.16666666666666666	0.5517241379310345	0.39655172413793105	0.08333333333333333	0.1724137931034483	0.10344827586206896	0.08333333333333333	0.41379310344827586	0.3103448275862069	0.27586206896551724	0.5517241379310345	0.15517241379310345	0.5
15	12	29	58	False	0.0	0.06896551724137931	0.15517241379310345	0.5	0.41379310344827586	0.5	0.0	0.06896551724137931	0.10344827586206896	0.5	0.3793103448275862	0.3793103448275862	0.0	0.034482758620689655	0.08620689655172414	0.4166666666666667	0.2413793103448276	0.27586206896551724	0.0	0.13793103448275862	0.15517241379310345	0.4166666666666667	0.41379310344827586	0.39655172413793105	0.0	0.034482758620689655	0.10344827586206896	0.4166666666666667	0.27586206896551724	0.3103448275862069	0.13793103448275862	0.41379310344827586	0.15517241379310345	0.5
16	12	29	58	False	0.25	0.10344827586206896	0.15517241379310345	0.4166666666666667	0.4482758620689655	0.5	0.16666666666666666	0.034482758620689655	0.10344827586206896	0.3333333333333333	0.3793103448275862	0.3793103448275862	0.16666666666666666	0.034482758620689655	0.08620689655172414	0.25	0.27586206896551724	0.27586206896551724	0.25	0.10344827586206896	0.15517241379310345	0.4166666666666667	0.3793103448275862	0.39655172413793105	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.3333333333333333	0.3103448275862069	0.3103448275862069	0.10344827586206896	0.4482758620689655	0.15517241379310345	0.5
17	12	29	58	False	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.4166666666666667	0.5172413793103449	0.5	0.08333333333333333	0.06896551724137931	0.10344827586206896	0.5	0.3103448275862069	0.3793103448275862	0.08333333333333333	0.06896551724137931	0.08620689655172414	0.16666666666666666	0.3103448275862069	0.27586206896551724	0.0	0.10344827586206896	0.15517241379310345	0.3333333333333333	0.3793103448275862	0.39655172413793105	0.08333333333333333	0.06896551724137931	0.10344827586206896	0.16666666666666666	0.3448275862068966	0.3103448275862069	0.1724137931034483	0.5172413793103449	0.15517241379310345	0.5
18	12	29	58	False	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.5833333333333334	0.4482758620689655	0.5	0.0	0.13793103448275862	0.10344827586206896	0.4166666666666667	0.41379310344827586	0.3793103448275862	0.0	0.10344827586206896	0.08620689655172414	0.3333333333333333	0.27586206896551724	0.27586206896551724	0.08333333333333333	0.1724137931034483	0.15517241379310345	0.5	0.3793103448275862	0.39655172413793105	0.08333333333333333	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.3103448275862069	0.3103448275862069	0.1724137931034483	0.4482758620689655	0.15517241379310345	0.5
19	12	29	58	False	0.0	0.1724137931034483	0.15517241379310345	0.5	0.41379310344827586	0.5	0.08333333333333333	0.06896551724137931	0.10344827586206896	0.6666666666666666	0.2413793103448276	0.3793103448275862	0.08333333333333333	0.06896551724137931	0.08620689655172414	0.4166666666666667	0.1724137931034483	0.27586206896551724	0.25	0.10344827586206896	0.15517241379310345	0.5833333333333334	0.27586206896551724	0.39655172413793105	0.16666666666666666	0.06896551724137931	0.10344827586206896	0.5	0.20689655172413793	0.3103448275862069	0.1724137931034483	0.41379310344827586	0.15517241379310345	0.5
20	12	29	58	False	0.16666666666666666	0.13793103448275862	0.15517241379310345	0.5833333333333334	0.41379310344827586	0.5	0.0	0.10344827586206896	0.10344827586206896	0.3333333333333333	0.3448275862068966	0.3793103448275862	0.0	0.06896551724137931	0.08620689655172414	0.3333333333333333	0.13793103448275862	0.27586206896551724	0.16666666666666666	0.13793103448275862	0.15517241379310345	0.5	0.3103448275862069	0.39655172413793105	0.0	0.10344827586206896	0.10344827586206896	0.4166666666666667	0.1724137931034483	0.3103448275862069	0.13793103448275862	0.41379310344827586	0.15517241379310345	0.5
