seed	n_val	n_test	n_full	gt_in_prompt	stepfinder-alg.s42_step@1_val	stepfinder-alg.s42_step@1_test	stepfinder-alg.s42_step@1_full	stepfinder-alg.s42_agent@1_val	stepfinder-alg.s42_agent@1_test	stepfinder-alg.s42_agent@1_full	stepfinder-alg.s43_step@1_val	stepfinder-alg.s43_step@1_test	stepfinder-alg.s43_step@1_full	stepfinder-alg.s43_agent@1_val	stepfinder-alg.s43_agent@1_test	stepfinder-alg.s43_agent@1_full	stepfinder-alg.s44_step@1_val	stepfinder-alg.s44_step@1_test	stepfinder-alg.s44_step@1_full	stepfinder-alg.s44_agent@1_val	stepfinder-alg.s44_agent@1_test	stepfinder-alg.s44_agent@1_full	stepfinder-alg.s45_step@1_val	stepfinder-alg.s45_step@1_test	stepfinder-alg.s45_step@1_full	stepfinder-alg.s45_agent@1_val	stepfinder-alg.s45_agent@1_test	stepfinder-alg.s45_agent@1_full	stepfinder-alg.s46_step@1_val	stepfinder-alg.s46_step@1_test	stepfinder-alg.s46_step@1_full	stepfinder-alg.s46_agent@1_val	stepfinder-alg.s46_agent@1_test	stepfinder-alg.s46_agent@1_full	baseline_best_step@1_test	baseline_best_agent@1_test	baseline_best_step@1_full	baseline_best_agent@1_full
1	26	64	127	False	0.11538461538461539	0.09375	0.07874015748031496	0.46153846153846156	0.609375	0.5196850393700787	0.07692307692307693	0.109375	0.09448818897637795	0.5769230769230769	0.71875	0.6535433070866141	0.07692307692307693	0.015625	0.03937007874015748	0.6538461538461539	0.6875	0.6299212598425197	0.038461538461538464	0.109375	0.09448818897637795	0.5769230769230769	0.71875	0.6929133858267716	0.07692307692307693	0.0625	0.08661417322834646	0.6923076923076923	0.765625	0.7322834645669292	0.109375	0.765625	0.09448818897637795	0.7322834645669292
2	26	64	127	False	0.07692307692307693	0.0625	0.07874015748031496	0.4230769230769231	0.453125	0.5196850393700787	0.15384615384615385	0.078125	0.09448818897637795	0.6538461538461539	0.625	0.6535433070866141	0.038461538461538464	0.03125	0.03937007874015748	0.5384615384615384	0.625	0.6299212598425197	0.15384615384615385	0.046875	0.09448818897637795	0.6923076923076923	0.625	0.6929133858267716	0.15384615384615385	0.046875	0.08661417322834646	0.7307692307692307	0.71875	0.7322834645669292	0.078125	0.71875	0.09448818897637795	0.7322834645669292
3	26	64	127	False	0.15384615384615385	0.0625	0.07874015748031496	0.38461538461538464	0.5625	0.5196850393700787	0.15384615384615385	0.09375	0.09448818897637795	0.6538461538461539	0.71875	0.6535433070866141	0.038461538461538464	0.0625	0.03937007874015748	0.5	0.6875	0.6299212598425197	0.15384615384615385	0.09375	0.09448818897637795	0.6538461538461539	0.71875	0.6929133858267716	0.15384615384615385	0.09375	0.08661417322834646	0.6923076923076923	0.765625	0.7322834645669292	0.09375	0.765625	0.09448818897637795	0.7322834645669292
4	26	64	127	False	0.038461538461538464	0.0625	0.07874015748031496	0.5769230769230769	0.46875	0.5196850393700787	0.11538461538461539	0.078125	0.09448818897637795	0.6153846153846154	0.6875	0.6535433070866141	0.0	0.046875	0.03937007874015748	0.6538461538461539	0.640625	0.6299212598425197	0.038461538461538464	0.078125	0.09448818897637795	0.7307692307692307	0.6875	0.6929133858267716	0.11538461538461539	0.046875	0.08661417322834646	0.7692307692307693	0.703125	0.7322834645669292	0.078125	0.703125	0.09448818897637795	0.7322834645669292
5	26	64	127	False	0.11538461538461539	0.09375	0.07874015748031496	0.6538461538461539	0.53125	0.5196850393700787	0.11538461538461539	0.078125	0.09448818897637795	0.5769230769230769	0.65625	0.6535433070866141	0.038461538461538464	0.0625	0.03937007874015748	0.6923076923076923	0.65625	0.6299212598425197	0.11538461538461539	0.09375	0.09448818897637795	0.8076923076923077	0.65625	0.6929133858267716	0.15384615384615385	0.078125	0.08661417322834646	0.7692307692307693	0.75	0.7322834645669292	0.09375	0.75	0.09448818897637795	0.7322834645669292
6	26	64	127	False	0.15384615384615385	0.046875	0.07874015748031496	0.5	0.484375	0.5196850393700787	0.07692307692307693	0.078125	0.09448818897637795	0.5384615384615384	0.65625	0.6535433070866141	0.0	0.0625	0.03937007874015748	0.5769230769230769	0.625	0.6299212598425197	0.07692307692307693	0.140625	0.09448818897637795	0.6538461538461539	0.6875	0.6929133858267716	0.11538461538461539	0.109375	0.08661417322834646	0.6923076923076923	0.71875	0.7322834645669292	0.140625	0.71875	0.09448818897637795	0.7322834645669292
7	26	64	127	False	0.11538461538461539	0.078125	0.07874015748031496	0.5384615384615384	0.5	0.5196850393700787	0.15384615384615385	0.09375	0.09448818897637795	0.6923076923076923	0.59375	0.6535433070866141	0.038461538461538464	0.015625	0.03937007874015748	0.6153846153846154	0.578125	0.6299212598425197	0.07692307692307693	0.109375	0.09448818897637795	0.7307692307692307	0.59375	0.6929133858267716	0.11538461538461539	0.109375	0.08661417322834646	0.6923076923076923	0.703125	0.7322834645669292	0.109375	0.703125	0.09448818897637795	0.7322834645669292
8	26	64	127	False	0.07692307692307693	0.078125	0.07874015748031496	0.38461538461538464	0.515625	0.5196850393700787	0.07692307692307693	0.125	0.09448818897637795	0.6153846153846154	0.625	0.6535433070866141	0.0	0.03125	0.03937007874015748	0.6923076923076923	0.59375	0.6299212598425197	0.11538461538461539	0.109375	0.09448818897637795	0.6153846153846154	0.640625	0.6929133858267716	0.11538461538461539	0.0625	0.08661417322834646	0.6923076923076923	0.703125	0.7322834645669292	0.125	0.703125	0.09448818897637795	0.7322834645669292
9	26	64	127	False	0.15384615384615385	0.046875	0.07874015748031496	0.6153846153846154	0.53125	0.5196850393700787	0.07692307692307693	0.078125	0.09448818897637795	0.6153846153846154	0.640625	0.6535433070866141	0.07692307692307693	0.03125	0.03937007874015748	0.7307692307692307	0.59375	0.6299212598425197	0.11538461538461539	0.09375	0.09448818897637795	0.5769230769230769	0.765625	0.6929133858267716	0.11538461538461539	0.0625	0.08661417322834646	0.8461538461538461	0.671875	0.7322834645669292	0.09375	0.765625	0.09448818897637795	0.7322834645669292
10	26	64	127	False	0.038461538461538464	0.078125	0.07874015748031496	0.34615384615384615	0.609375	0.5196850393700787	0.07692307692307693	0.109375	0.09448818897637795	0.5769230769230769	0.71875	0.6535433070866141	0.038461538461538464	0.046875	0.03937007874015748	0.5	0.703125	0.6299212598425197	0.11538461538461539	0.09375	0.09448818897637795	0.7307692307692307	0.6875	0.6929133858267716	0.07692307692307693	0.09375	0.08661417322834646	0.5384615384615384	0.8125	0.7322834645669292	0.109375	0.8125	0.09448818897637795	0.7322834645669292
11	26	64	127	False	0.038461538461538464	0.078125	0.07874015748031496	0.6538461538461539	0.5	0.5196850393700787	0.038461538461538464	0.078125	0.09448818897637795	0.6923076923076923	0.578125	0.6535433070866141	0.038461538461538464	0.03125	0.03937007874015748	0.7692307692307693	0.546875	0.6299212598425197	0.0	0.125	0.09448818897637795	0.6923076923076923	0.75	0.6929133858267716	0.0	0.140625	0.08661417322834646	0.8846153846153846	0.703125	0.7322834645669292	0.140625	0.75	0.09448818897637795	0.7322834645669292
12	26	64	127	False	0.15384615384615385	0.0625	0.07874015748031496	0.5769230769230769	0.53125	0.5196850393700787	0.15384615384615385	0.078125	0.09448818897637795	0.7692307692307693	0.59375	0.6535433070866141	0.07692307692307693	0.03125	0.03937007874015748	0.6538461538461539	0.6875	0.6299212598425197	0.07692307692307693	0.09375	0.09448818897637795	0.6538461538461539	0.734375	0.6929133858267716	0.15384615384615385	0.078125	0.08661417322834646	0.7307692307692307	0.734375	0.7322834645669292	0.09375	0.734375	0.09448818897637795	0.7322834645669292
13	26	64	127	False	0.11538461538461539	0.0625	0.07874015748031496	0.5384615384615384	0.578125	0.5196850393700787	0.07692307692307693	0.0625	0.09448818897637795	0.5384615384615384	0.703125	0.6535433070866141	0.038461538461538464	0.046875	0.03937007874015748	0.5769230769230769	0.71875	0.6299212598425197	0.0	0.125	0.09448818897637795	0.5769230769230769	0.75	0.6929133858267716	0.038461538461538464	0.109375	0.08661417322834646	0.6538461538461539	0.78125	0.7322834645669292	0.125	0.78125	0.09448818897637795	0.7322834645669292
14	26	64	127	False	0.07692307692307693	0.09375	0.07874015748031496	0.5769230769230769	0.53125	0.5196850393700787	0.19230769230769232	0.09375	0.09448818897637795	0.7307692307692307	0.65625	0.6535433070866141	0.038461538461538464	0.046875	0.03937007874015748	0.6923076923076923	0.625	0.6299212598425197	0.19230769230769232	0.078125	0.09448818897637795	0.7307692307692307	0.671875	0.6929133858267716	0.19230769230769232	0.0625	0.08661417322834646	0.9230769230769231	0.734375	0.7322834645669292	0.09375	0.734375	0.09448818897637795	0.7322834645669292
